TUMOR_SAMPLE_BARCODE	idCCL	idCellState	idCELL	cell_sample_id	CELLS_PER_WELL	GROWTH_MODE	CULTURE_MEDIA	CELL_LINE	CELL_LINEAGE	is_hl	gender	taxonomy_id	primary_site_name	primary_hist_name	hist_subtype_1_name
A673_BONE	24	24	26	37	500	adherent	DMEM001	A673	BONE	0	F	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
CADOES1_BONE	25	25	62	108	500	adherent	RPMI001	CADOES1	BONE	0	F	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
CAL78_BONE	26	26	74	120	500	adherent	RPMI003	CAL78	BONE	0	M	9606	bone	chondrosarcoma	dedifferentiated
G292CLONEA141B1_BONE	27	27	170	262	500	adherent	MCCOYS5A002	G292CLONEA141B1	BONE	0	F	9606	bone	osteosarcoma	
HOS_BONE	28	28	237	383	500	adherent	EMEM001	HOS	BONE	0	F	9606	bone	osteosarcoma	
HS819T_BONE	29	29	264	422	500	adherent	DMEM001	HS819T	BONE	0	M	9606	bone	chondrosarcoma	
HS822T_BONE	30	30	936	424	500	adherent	DMEM001	HS822T	BONE	0	F	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
HS888T_BONE	31	31	270	432	500	adherent	DMEM002	HS888T	BONE	0	M	9606	bone	osteosarcoma	
MG63_BONE	32	32	447	673	500	adherent	MEM001	MG63	BONE	0	M	9606	bone	osteosarcoma	
MHHES1_BONE	33	33	450	677	500	adherent	RPMI001	MHHES1	BONE	0	M	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
RDES_BONE	34	34	643	963	500	suspension	RPMI004	RDES	BONE	0	M	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
SAOS2_BONE	35	35	670	1004	500	adherent	MCCOYS5A003	SAOS2	BONE	0	F	9606	bone	osteosarcoma	
SJSA1_BONE	36	36	687	1032	500	adherent	RPMI001	SJSA1	BONE	0	M	9606	bone	osteosarcoma	
SKES1_BONE	37	37	690	1035	500	adherent	MCCOYS5A003	SKES1	BONE	0	M	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
SKNMC_BONE	38	38	709	1056	500	adherent	EMEM001	SKNMC	BONE	0	F	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
SW1353_BONE	39	39	739	1154	500	adherent	RPMI001	SW1353	BONE	0	F	9606	bone	chondrosarcoma	
TC71_BONE	40	40	762	1180	500	suspension	IMDM002	TC71	BONE	0	M	9606	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	
U2OS_BONE	41	41	789	1226	500	adherent	DMEM001	U2OS	BONE	0	F	9606	bone	osteosarcoma	
AU565_BREAST	42	42	38	53	500	adherent	DMEM001	AU565	BREAST	0	F	9606	breast	carcinoma	
BT20_BREAST	43	43	53	90	500	adherent	EMEM001	BT20	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
BT474_BREAST	44	44	54	97	500	adherent	DMEM006	BT474	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
BT549_BREAST	45	45	55	99	500	adherent	RPMI001	BT549	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
CAL120_BREAST	46	46	65	111	500	adherent	DMEM001	CAL120	BREAST	0	F	9606	breast	carcinoma	
CAL148_BREAST	47	47	67	113	500	adherent	DMEM006	CAL148	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
CAL51_BREAST	48	48	71	117	500	adherent	DMEM006	CAL51	BREAST	0	F	9606	breast	carcinoma	
CAL851_BREAST	49	49	75	121	500	adherent	DMEM001	CAL851	BREAST	0	F	9606	breast	carcinoma	
CAMA1_BREAST	50	50	79	125	500	adherent	EMEM001	CAMA1	BREAST	0	F	9606	breast	carcinoma	
DU4475_BREAST	51	51	143	226	500	suspension	RPMI001	DU4475	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
EFM192A_BREAST	52	52	152	236	500	adherent	RPMI003	EFM192A	BREAST	0	F	9606	breast	carcinoma	
HCC1143_BREAST	53	53	187	295	500	adherent	RPMI001	HCC1143	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1395_BREAST	54	54	189	300	500	adherent	RPMI001	HCC1395	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1419_BREAST	55	55	190	301	500	adherent	RPMI001	HCC1419	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1428_BREAST	56	56	191	302	500	adherent	RPMI001	HCC1428	BREAST	0	F	9606	breast	carcinoma	
HCC1500_BREAST	57	57	192	305	500	adherent	RPMI001	HCC1500	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1569_BREAST	58	58	193	306	500	adherent	RPMI001	HCC1569	BREAST	0	F	9606	breast	carcinoma	metaplastic_carcinoma
HCC1806_BREAST	59	59	196	309	500	adherent	RPMI001	HCC1806	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1937_BREAST	60	60	197	313	500	adherent	RPMI001	HCC1937	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC1954_BREAST	61	61	198	314	500	adherent	RPMI001	HCC1954	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC202_BREAST	62	62	199	315	500	adherent	RPMI001	HCC202	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC2218_BREAST	63	63	201	318	500	suspension	RPMI001	HCC2218	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HCC38_BREAST	64	64	937	330	500	adherent	RPMI001	HCC38	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HDQP1_BREAST	65	65	214	349	500	adherent	RPMI001	HDQP1	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
HMC18_BREAST	66	66	234	376	500	adherent	RPMI001	HMC18	BREAST	0	F	9606	breast	carcinoma	
HS578BST_BREAST	67	67	1192	399	500	adherent	HCM001	HS578BST	BREAST	0		9606			
HS578T_BREAST	68	68	246	400	500	adherent	DMEM001	HS578T	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
JIMT1_BREAST	69	69	321	501	500	adherent	RPMI001	JIMT1	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
KPL1_BREAST	70	70	973	569	500	adherent	DMEM001	KPL1	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
MCF7_BREAST	71	71	426	646	500	adherent	DMEM001	MCF7	BREAST	0	F	9606	breast	carcinoma	
MDAMB157_BREAST	72	72	428	648	500	adherent	RPMI001	MDAMB157	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
MDAMB175VII_BREAST	73	73	429	649	500	adherent	RPMI001	MDAMB175VII	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
MDAMB231_BREAST	74	74	430	650	500	adherent	RPMI001	MDAMB231	BREAST	0	F	9606	breast	carcinoma	
MDAMB361_BREAST	75	75	431	651	500	adherent	RPMI003	MDAMB361	BREAST	0	F	9606	breast	carcinoma	
MDAMB415_BREAST	76	76	432	652	500	adherent	RPMI017	MDAMB415	BREAST	0	F	9606	breast	carcinoma	
MDAMB453_BREAST	77	77	434	657	500	adherent	RPMI001	MDAMB453	BREAST	0	F	9606	breast	carcinoma	
MDAMB468_BREAST	78	78	435	658	500	adherent	DMEM001	MDAMB468	BREAST	0	F	9606	breast	carcinoma	
SKBR3_BREAST	79	80	688	1033	500	adherent	MCCOYS5A001	SKBR3	BREAST	0	F	9606	breast	carcinoma	
T47D_BREAST	80	81	759	1175	500	adherent	RPMI018	T47D	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
UACC812_BREAST	81	82	794	1234	500	mixed	RPMI003	UACC812	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
ZR751_BREAST	82	83	812	1285	500	adherent	RPMI001	ZR751	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
ZR7530_BREAST	83	84	813	1286	500	adherent	RPMI001	ZR7530	BREAST	0	F	9606	breast	carcinoma	ductal_carcinoma
42MGBA_CENTRAL_NERVOUS_SYSTEM	84	85	5	10	500	adherent	RPMIMEM001	42MGBA	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
8MGBA_CENTRAL_NERVOUS_SYSTEM	85	86	14	22	500	adherent	EMEM005	8MGBA	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
A172_CENTRAL_NERVOUS_SYSTEM	86	87	16	25	500	adherent	DMEM001	A172	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
AM38_CENTRAL_NERVOUS_SYSTEM	87	88	33	47	500	adherent	EMEM005	AM38	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
BECKER_CENTRAL_NERVOUS_SYSTEM	88	89	44	59	500	adherent	EMEM001	BECKER	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
BT112_CENTRAL_NERVOUS_SYSTEM	89	90	1180	77	500	adherent	NEURO001	BT112	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT139_CENTRAL_NERVOUS_SYSTEM	90	91	1195	79	500	adherent	NEURO001	BT139	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT145_CENTRAL_NERVOUS_SYSTEM	91	92	1181	80	500	suspension	NEURO001	BT145	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT159_CENTRAL_NERVOUS_SYSTEM	92	93	1196	82	500	adherent	NEURO001	BT159	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT164_CENTRAL_NERVOUS_SYSTEM	93	94	1182	83	500	adherent	NEURO001	BT164	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT179_CENTRAL_NERVOUS_SYSTEM	94	95	1183	85	500	adherent	NEURO001	BT179	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT187_CENTRAL_NERVOUS_SYSTEM	95	96	1197	88	500	adherent	NEURO001	BT187	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT224_CENTRAL_NERVOUS_SYSTEM	96	97	1184	92	500	adherent	NEURO001	BT224	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT228_CENTRAL_NERVOUS_SYSTEM	97	98	1198	93	500	adherent	NEURO001	BT228	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT231_CENTRAL_NERVOUS_SYSTEM	98	99	1199	94	500	adherent	NEURO001	BT231	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT239_CENTRAL_NERVOUS_SYSTEM	99	100	1200	95	500	adherent	NEURO001	BT239	CENTRAL_NERVOUS_SYSTEM	0		9606			
BT248_CENTRAL_NERVOUS_SYSTEM	100	101	1208	96	500	adherent	NEURO001	BT248	CENTRAL_NERVOUS_SYSTEM	0		9606			
CAS1_CENTRAL_NERVOUS_SYSTEM	101	102	84	130	500	adherent	DMEM001	CAS1	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	102	103	85	131	500	adherent	RPMI001	CCFSTTG1	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma
D283MED_CENTRAL_NERVOUS_SYSTEM	103	104	123	193	500	adherent	EMEM001	D283MED	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	
DAOY_CENTRAL_NERVOUS_SYSTEM	104	105	126	202	500	adherent	EMEM001	DAOY	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	105	106	129	205	500	adherent	RPMI001	DBTRG05MG	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
DKMG_CENTRAL_NERVOUS_SYSTEM	106	107	133	211	500	adherent	RPMI001	DKMG	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
GAMG_CENTRAL_NERVOUS_SYSTEM	107	108	175	268	500	adherent	DMEM001	GAMG	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	
GB1_CENTRAL_NERVOUS_SYSTEM	108	109	176	269	500	adherent	EMEM001	GB1	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
GI1_CENTRAL_NERVOUS_SYSTEM	109	110	180	274	500	adherent	DMEM001	GI1	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	gliosarcoma
GMS10_CENTRAL_NERVOUS_SYSTEM	110	111	182	280	500	adherent	MEM001	GMS10	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
GOS3_CENTRAL_NERVOUS_SYSTEM	111	112	183	281	500	adherent	DMEM001	GOS3	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma
HS683_CENTRAL_NERVOUS_SYSTEM	112	113	254	409	500	adherent	DMEM001	HS683	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	
KALS1_CENTRAL_NERVOUS_SYSTEM	113	114	329	514	500	adherent	RPMI003	KALS1	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	
KG1C_CENTRAL_NERVOUS_SYSTEM	114	115	342	530	500	adherent	DMEMF12003	KG1C	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
KNS42_CENTRAL_NERVOUS_SYSTEM	115	116	362	556	500	adherent	MEM001	KNS42	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	
KNS60_CENTRAL_NERVOUS_SYSTEM	116	117	363	557	500	adherent	DMEM009	KNS60	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
KNS81_CENTRAL_NERVOUS_SYSTEM	117	118	365	559	500	adherent	DMEM009	KNS81	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
LN18_CENTRAL_NERVOUS_SYSTEM	118	119	401	604	500	adherent	DMEM009	LN18	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
LN229_CENTRAL_NERVOUS_SYSTEM	119	120	402	606	500	adherent	DMEM009	LN229	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
M059K_CENTRAL_NERVOUS_SYSTEM	120	121	419	638	500	adherent	DMEMF12003	M059K	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
NMCG1_CENTRAL_NERVOUS_SYSTEM	121	122	580	855	500	adherent	DMEM001	NMCG1	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	
ONS76_CENTRAL_NERVOUS_SYSTEM	122	124	599	899	500	adherent	RPMI001	ONS76	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma	
SF126_CENTRAL_NERVOUS_SYSTEM	123	125	679	1015	500	adherent	EMEM001	SF126	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	astrocytoma
SF268_CENTRAL_NERVOUS_SYSTEM	124	126	1172	1017	500	adherent	RPMI001	SF268	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	
SF295_CENTRAL_NERVOUS_SYSTEM	125	127	680	1018	500	adherent	RPMI001	SF295	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SF539_CENTRAL_NERVOUS_SYSTEM	126	128	1173	1019	500	adherent	RPMI005	SF539	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	
SNB75_CENTRAL_NERVOUS_SYSTEM	127	129	1175	1073	500	adherent	RPMI005	SNB75	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	
SNU1105_CENTRAL_NERVOUS_SYSTEM	128	130	874	1083	500	adherent	RPMI001	SNU1105	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SNU201_CENTRAL_NERVOUS_SYSTEM	129	131	881	1092	500	adherent	RPMI001	SNU201	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SNU466_CENTRAL_NERVOUS_SYSTEM	130	132	892	1107	500	adherent	RPMI001	SNU466	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SNU489_CENTRAL_NERVOUS_SYSTEM	131	133	894	1110	500	adherent	RPMI001	SNU489	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SNU626_CENTRAL_NERVOUS_SYSTEM	132	134	900	1117	500	adherent	RPMI001	SNU626	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
SNU738_CENTRAL_NERVOUS_SYSTEM	133	135	904	1121	500	adherent	RPMI001	SNU738	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	oligodendroglioma
SW1088_CENTRAL_NERVOUS_SYSTEM	134	136	736	1151	500	adherent	RPMI001	SW1088	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	
SW1783_CENTRAL_NERVOUS_SYSTEM	135	137	744	1159	500	adherent	RPMI001	SW1783	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_III
T98G_CENTRAL_NERVOUS_SYSTEM	136	138	761	1177	500	adherent	EMEM001	T98G	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
TM31_CENTRAL_NERVOUS_SYSTEM	137	139	918	1204	500	adherent	MEM001	TM31	CENTRAL_NERVOUS_SYSTEM	0		9606	central_nervous_system	glioma	astrocytoma
U118MG_CENTRAL_NERVOUS_SYSTEM	138	140	786	1218	500	adherent	DMEM001	U118MG	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma
U251MG_CENTRAL_NERVOUS_SYSTEM	139	141	787	1223	500	adherent	MEM001	U251MG	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma
U87MG_CENTRAL_NERVOUS_SYSTEM	140	142	790	1230	500	adherent	EMEM001	U87MG	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma
UCH1_CENTRAL_NERVOUS_SYSTEM	141	143	1190	1237	500	adherent	IMDMRPMI001	UCH1	CENTRAL_NERVOUS_SYSTEM	0		9606	urinary_tract	carcinoma	transitional_cell_carcinoma
YH13_CENTRAL_NERVOUS_SYSTEM	142	144	809	1282	500	adherent	EMEM005	YH13	CENTRAL_NERVOUS_SYSTEM	0	M	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
YKG1_CENTRAL_NERVOUS_SYSTEM	143	145	810	1283	500	adherent	DMEM001	YKG1	CENTRAL_NERVOUS_SYSTEM	0	F	9606	central_nervous_system	glioma	astrocytoma_Grade_IV
HELA_CERVIX	144	146	1185	364	500	adherent	DMEM001	HELA	CERVIX	0		9606	cervix	carcinoma	adenocarcinoma
AN3CA_ENDOMETRIUM	145	147	36	50	500	adherent	EMEM001	AN3CA	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
COLO684_ENDOMETRIUM	146	148	107	163	500	suspension	RPMI007	COLO684	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
EFE184_ENDOMETRIUM	147	149	151	234	500	adherent	RPMI001	EFE184	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	
EN_ENDOMETRIUM	148	150	159	243	500	adherent	DMEM001	EN	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	
ESS1_ENDOMETRIUM	149	151	164	248	500	adherent	RPMI003	ESS1	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour
HEC108_ENDOMETRIUM	150	152	215	350	500	adherent	EMEM002	HEC108	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC151_ENDOMETRIUM	151	153	216	351	500	adherent	EMEM002	HEC151	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC1A_ENDOMETRIUM	152	154	217	352	500	adherent	MCCOYS5A001	HEC1A	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC1B_ENDOMETRIUM	153	155	846	353	500	adherent	EMEM001	HEC1B	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC251_ENDOMETRIUM	154	156	218	354	500	adherent	EMEM002	HEC251	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC265_ENDOMETRIUM	155	157	219	355	500	adherent	EMEM002	HEC265	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC50B_ENDOMETRIUM	156	158	220	356	500	adherent	EMEM002	HEC50B	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC59_ENDOMETRIUM	157	159	221	357	500	adherent	EMEM002	HEC59	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
HEC6_ENDOMETRIUM	158	160	222	358	500	adherent	EMEM002	HEC6	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	159	161	307	479	500	adherent	MEM002	ISHIKAWAHERAKLIO02ER	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
JHUEM1_ENDOMETRIUM	160	162	318	497	500	adherent	DMEMF12003	JHUEM1	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
JHUEM2_ENDOMETRIUM	161	163	319	498	500	adherent	DMEMF12004	JHUEM2	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
JHUEM3_ENDOMETRIUM	162	164	854	499	500	adherent	DMEMF12004	JHUEM3	ENDOMETRIUM	0		9606	endometrium	carcinoma	adenocarcinoma
JHUEM7_ENDOMETRIUM	163	165	320	500	500	adherent	DMEMF12004	JHUEM7	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
KLE_ENDOMETRIUM	164	166	345	534	500	adherent	DMEMF12003	KLE	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
MFE296_ENDOMETRIUM	165	167	445	671	500	adherent	RPMIMEM002	MFE296	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
MFE319_ENDOMETRIUM	166	168	446	672	500	adherent	RPMIMEM001	MFE319	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
RL952_ENDOMETRIUM	167	169	657	981	500	adherent	RPMI001	RL952	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	mixed_adenosquamous_carcinoma
SNGM_ENDOMETRIUM	168	171	714	1074	500	adherent	HAMSF12002	SNGM	ENDOMETRIUM	0	F	9606	endometrium	carcinoma	adenocarcinoma
